DATE,AHEMAN,AHEMAN_PC1,FEDFUNDS,M08297USM548NNBR,PAYEMS,PERMIT,RECPROUSM156N,UEMPMEAN,UNRATE,USREC,Consumer_Expend,Gross_Dom_Income_PC1,Natural_Rate_Unemp,SP_Close,Unemp_Gap
2/1/1968,2.82,5.61798,4.71,224,67215,1342,0.08,8.7,3.8,0,953.6435909,9.049458817,5.79576329,89.360001,1.99576329
3/1/1968,2.84,6.36704,5.05,180,67295,1370,0.08,8.5,3.7,0,957.7379051,9.551835759,5.799204623,90.199997,2.099204623
4/1/1968,2.85,6.34328,5.76,180,67556,1286,0.06,8.7,3.5,0,962.639,9.99518,5.803,97.459999,2.303
5/1/1968,2.88,7.0632,6.11,153,67652,1297,0.04,8.2,3.5,0,968.900283,10.31274075,5.806918048,98.68,2.306918048
6/1/1968,2.88,6.66667,6.07,154,67905,1300,0.04,7.9,3.7,0,975.6598806,10.55028847,5.811076395,99.580002,2.111076395
7/1/1968,2.88,6.66667,6.02,231,68126,1344,0.06,8.4,3.7,0,980.6806667,10.72714,5.815,97.739998,2.115
8/1/1968,2.87,6.2963,6.03,169,68330,1357,0.1,8.3,3.5,0,983.0634145,10.87356686,5.818800116,98.860001,2.318800116
9/1/1968,2.92,6.95971,5.78,137,68484,1464,0.04,8.2,3.4,0,983.9096186,10.93160673,5.82244957,102.669998,2.42244957
10/1/1968,2.94,7.69231,5.91,150,68721,1421,0.06,8.4,3.4,0,985.1043333,10.83856,5.826,103.410004,2.426
11/1/1968,2.96,7.63636,5.82,186,68984,1436,0.02,8.1,3.4,0,988.0992838,10.55541622,5.829830536,108.370003,2.429830536
12/1/1968,2.99,7.16846,6.02,256,69248,1389,0.1,8.2,3.4,0,992.047022,10.19729963,5.833736779,103.860001,2.433736779
1/1/1969,3,6.00707,6.3,271,69439,1459,0.12,8.1,3.4,0,996.0273333,9.87411,5.838,103.010002,2.438
2/1/1969,3,6.38298,6.61,213,69699,1495,0.08,7.9,3.4,0,998.9749541,9.70529008,5.842478939,98.129997,2.442478939
3/1/1969,3.01,5.98592,6.79,170,69905,1438,0.1,7.9,3.4,0,1000.856875,9.679061687,5.846579076,101.510002,2.446579076
